X,Y,OBJECTID,FACILITY_STATUS,STATUS_NOTE,NAME,CAD_NAME,AKA,TYPE,UNIT,CDF_UNIT,COUNTY,OWNER,FUNDING,STAFFING,ADDRESS,CITY,ZIP,PHONE_NUM,LAT,LON
-13525052.6534,4661083.0391,1,Decommissioned,Moved to P St.  No longer in use,Sacramento Administration,Sacramento Administration,,ADM,CDF,AEU,Sacramento,STATE,B,P,1416 9Th Street ,Sacramento,95814,916-653-5121,38.57575,-121.497602
-13467128.2404,4673136.4619,2,Active,,Cameron Park Fire Departemnt FS Station 89,Cameron Park FS 89,Sta 89,FSA,AEU,AEU,El Dorado,FIRE DISTRICT,A,P,3200 Country Club Drive,Cameron Park,95682,530-677-6190,38.66034991,-120.97725822
-13468586.3818,4677223.1936,3,Active,,Cameron Park Fire Department FS Station 88,Cameron Park FS 88,Sta 88,FSA,AEU,AEU,El Dorado,FIRE DISTRICT,A,P,2961 Alhambra Drive,Cameron Park,95682,530-672-7350,38.68901101,-120.99035692
-13468571.0666,4681590.2517,4,Active,,Pine Hill COM/LO,AEU Pine Hill COM/LO,XED CMD Tone 12,COM/LO,AEU,AEU,El Dorado,STATE,B,P,Pine Hill Road,Rescue,95672,,38.7196254,-120.99021933
-13411832.6067,4652507.4425,5,Active,,Dew Drop FS,AEU Dew Drop FS,Sta 10 ,FSB,AEU,AEU,Amador,STATE,B,P,29300 Dew Drop Bypass,Pioneer,95666,209-295-7735,38.51549923,-120.48052918
-13429539.3976,4637729.4736,6,Active,,Pine Grove YCC,AEU Pine Grove YCC,,YCC,AEU,AEU,Amador,STATE,B,P,13630 Aqueduct-Volcano Rd,Pine Grove,95665,209-296-7591,38.41155331,-120.63959198
-13430953.7349,4634644.3294,7,Active,,Mount Zion LO,No CAD name Entered,,LO,AEU,AEU,Amador,STATE,B,C,20200 Mount Zion Road,Pine Grove,95665,,38.38983399,-120.65229719
-13432133.6938,4638159.3882,8,Active,,Pine Grove FS,AEU Pine Grove FS,Sta 80,FSB,AEU,AEU,Amador,STATE,B,P,19597 Highway 88,Pine Grove ,95665,209-296-4435,38.41457938,-120.66289693
-13447566.8713,4632851.9052,9,Active,,Sutter Hill FS,AEU Sutter Hill FS,Sta 60,FSB,AEU,AEU,Amador,STATE,B,P,11600 Hwy 49,Sutter Creek,95685,209-267-5215,38.37721239,-120.80153551
-13440538.5915,4656879.826,10,Active,,River Pines FS,AEU River Pines FS,Sta 30,FSB,AEU,AEU,Amador,STATE,B,P,15035 Highway 16,River Pines,95675,209-245-6412,38.54622518,-120.73839939
-13432706.4115,4685166.9169,11,Active,,Camino FS,AEU Camino FS,Sta 20,FSB,AEU,AEU,El Dorado,STATE,B,P,2840 Mount Danaher Road,Camino,95709,530-647-5227,38.74468911,-120.6680417
-13432679.926,4685115.1223,12,Active,,Mount Danaher LO,AEU Mount Danaher LO,,LO,AEU,AEU,El Dorado,STATE,B,P,2840 Mt. Danaher Rd.,Camino,95709,530-647-5223,38.74432622,-120.66780378
-13432605.5222,4685109.9711,13,Active,,Amador-El Dorado UH,AEU Amador-El Dorado UH,,HQ,AEU,AEU,El Dorado,STATE,B,P,2840 Mt. Danaher Rd.,Camino,95709,530-644-2345,38.74429013,-120.6671354
-13432740.7937,4685108.2642,14,Active,,Amador-El Dorado ICC,AEU Amador-El Dorado ICC,,ICC,AEU,AEU,El Dorado,STATE,B,P,2840 Mt. Danaher Rd.,Camino,95709,530-647-5223,38.74427817,-120.66835056
-13455169.4688,4675919.7274,15,Active,,El Dorado FS,AEU El Dorado FS,Sta 43,FSB,AEU,AEU,El Dorado,STATE,B,P,5660 Mother Lode Drive,Placerville,95667,530-622-3858,38.67987077,-120.86983076
-13472992.2661,4695658.9989,16,Active,,Pilot Peak COM/LO,AEU Local Tone 5,XED CMD Tone 5,COM/LO,AEU,AEU,El Dorado,STATE,B,C,Pilot Hill Road,Pilot Hill,95664,,38.8181624,-121.02993563
-13470742.2405,4697663.8991,17,Active,,Pilot Hill FS,AEU Pilot Hill FS,Sta 70 ,FSB,AEU,AEU,El Dorado,STATE,B,P,4731 Pedro Hill Rd,Pilot Hill,95664,530-885-5812,38.83219356,-121.0097233
-13454268.5523,4700142.1567,18,Active,,Garden Valley FS,AEU Garden Valley FS,Sta 50,FSB,AEU,AEU,El Dorado,STATE,B,P,"5061 Marshall Rd, P.O. Box 12",Garden Valley,95633,530-333-4551,38.84953366,-120.86173767
-13455208.5877,4707972.5091,19,Active,,Growlersburg CC,AEU Growlersburg CC,,CC,AEU,AEU,El Dorado,STATE,B,P,5440 Longview Lane,Georgetown,95634,530-333-4385,38.90429404,-120.87018214
-13362049.336,4705398.0685,20,Active,,South Lake Tahoe FS,AEU South Lake Tahoe FS,Sta 5,FSB,AEU,AEU,El Dorado,COUNTY,B,P,1009 Boulder Mountain Court,South Lake Tahoe,96150,530-577-5749,38.88629467,-120.03331848
-13479764.3436,4673254.6241,21,Active,,Ridgeview,AEU Local Tone 15,,COM,AEU,AEU,El Dorado,,,,1084 Via Treviso,El Dorado Hills,95762,,38.66117878,-121.09077024
-13432649.8354,4685173.7806,22,Active,,Mt Danaher,AEU Local Tone 1,,COM,AEU,AEU,El Dorado,STATE,,,2840 Mount Danaher Rd,Camino,95709,,38.7447372,-120.66753347
-13472446.9946,4662826.6987,23,Active,,Ben Bolt,AEU Local Tone 6,XED CMD Tone 13,COM,AEU,AEU,El Dorado,COUNTY,,,6170 Latrobe Rd,Shingle Springs,95682,,38.58799445,-121.0250374
-13448970.0779,4709287.4,24,Active,,Hotchkiss,AEU Local T-3,XED CMD Tone 9,COM,AEU,AEU,El Dorado,,,,,,,,38.91348538,-120.81414066
-13419993.8754,4687867.4063,25,Active,,Union Hill,AEU Local Tone 4,XED CMD Tone 11,COM,AEU,AEU,El Dorado,STATE,,,7373 Twin Mountain Rd,Pollock Pines,95726,,38.76360714,-120.55384306
-13430939.8967,4634575.1969,26,Active,,Mt. Zion,No CAD name Entered,,COM,AEU,AEU,Alpine,STATE,,,20200 Mount Zion Rd,Pine Grove,95665,,38.38934723,-120.65217288
-13403707.4139,4699152.5425,27,Active,,Big Hill,ENF Tone 4,XED CMD Tone 4,COM,AEU,AEU,El Dorado,DISTRICT OTHER,,,2500 Big Hill Lookout Rd,Pollock Pines,95726,,38.8426099,-120.40753931
-13448534.1481,4682329.5344,28,Active,,Sacramento Hill,AEU Local Tone 7,XED CMD Tone 10,COM,AEU,AEU,El Dorado,COUNTY,,,,,,,38.72480668,-120.81022466
-13432005.1422,4669415.9054,29,Active,,Willow,El Dorado CMD T-14,EDC Tone 14,COM,AEU,AEU,El Dorado,COUNTY,,,,,,,38.63424688,-120.66174211
-13453595.4072,4669572.2641,30,Active,,Logtown,El Dorado CMD T-15,XED T-15,COM,AEU,AEU,El Dorado,COUNTY,,,6109 Quartz Dr,El Dorado,95623,,38.63534409,-120.85569073
-13461431.089,4631865.0385,31,Active,,Ione,AEU Local T-8,AEU Local T-8/Amador Command T14,COM,AEU,AEU,Alpine,,,,,,,,38.3702623,-120.92607988
-13454484.4632,4619319.0768,32,Active,,Pardee,Amador CMD T-12,,COM,AEU,AEU,Alpine,,,,4900 Stony Creek Rd,Jackson,95642,,38.28184801,-120.8636773
-13396275.8747,4685113.4432,33,Active,,Alder Ridge,ENF Tone 1,XED CMD Tone 1,COM,AEU,AEU,El Dorado,,,,,,,,38.74431443,-120.34078068
-13389190.5205,4668674.5702,34,Active,,Leek Spring,ENF Tone 2,ENF T2 Amador Command T13,COM,AEU,AEU,El Dorado,,,,,,,,38.62904459,-120.27713188
-13436807.2061,4707911.8489,35,Active,,Bald Mountain,ENF Tone 3,XED CMD Tone 3,COM,AEU,AEU,El Dorado,,,,10260 Wentworth Springs Rd,Georgetown,95634,,38.90386997,-120.70487974
-13363434.2305,4693414.4916,36,Active,,Scouts Peak,ENF T-6,TMU T-3,COM,AEU,AEU,El Dorado,,,,,,,,38.802451,-120.04575921
-13363408.5526,4649342.5732,37,Active,,Mt. Reba,ENF T-7,,COM,AEU,AEU,Alpine,,,,,,,,38.4932506,-120.04552858
-13344146.6175,4684302.4465,38,Active,,Hawkins,ENF T-9,,COM,AEU,AEU,Alpine,,,,,,,,38.73863202,-119.87249567
-13348019.6303,4713405.4148,39,Active,,East Peak,TMU-T2,,COM,XTB,AEU,Douglas,,,,,,,,38.94226336,-119.9072875
-13525258.328,4660995.0577,40,Active,,CNRA HQ,No CAD name Entered,,ADM,CDF,AEU,Sacramento,STATE,B,P,715 P St,Sacramento,95818,,38.56664325,-121.4938277
-13513966.6005,4674308.964,41,Active,,McClellan Reload Base,McClellan,,AAB,AEU,AEU,Sacramento,STATE,B,P,5741 Price Ave,McClellan,,,38.66857412,-121.3980143
-13518177.3113,4665699.6033,42,Active,,State Fire Marshal DSB,SFM,OSFM,SFM,CDF,AEU,Sacramento,STATE,B,P,"2251 Harvard Street, Suite 130",Sacramento,95815,916-568-3800,38.60816429,-121.43583976
-13518051.8464,4665396.044,43,Decommissioned,"No currently staffed, moved to 715 P St, lease is up June 2022, with plans to not renew lease",State Fire Marshal PL,SFM,Pipeline Safety Division and CUPA Program,SFM,CDF,AEU,Sacramento,,,,"2180 Harvard, Suite 400",Sacramento,95815,916-263-6300,38.60603845,-121.43472585
-13459845.6489,4618725.2111,44,Decommissioned,,Buena Vista FS 181,AEU Station 181,Station 181,FSA,AEU,AEU,Amador,TRIBAL,A,P,4640 Coal Mine Rd,Ione,95640,209-219-3861,38.27766533,-120.91185068
-13359693.5292,4701095.0277,45,Active,,Tahoe Fire Center,,,FCCCC,AEU,AEU,El Dorado,STATE,B,P,1949 Apache Ave,South Lake Tahoe,96150,,38.856203,-120.011914
-13450509.0517,4682612.8896,46,Active,,Placerville Fire Center,PFC,Placerville Fire Center,FCFFC,AEU,AEU,El Dorado,COUNTY,,P,299 Fair Lane,Placerville,95667,,38.72681,-120.828015
-13525262.2512,4660996.8993,47,Active,,State Fire Marshal DSB,SFM,,SFM,CDF,AEU,Sacramento,STATE,B,P,715 P St,Sacramento,95814,916-568-3800,38.57515013,-121.49949802
-13503601.0232,4660276.9862,48,Active,,Sacramento Emergency Command Center,SAC ECC,Sacramento,ECC,CDF,AEU,Sacramento,STATE,B,P,3650 Schriever Ave,Mather,95655,916-845-8692,38.57009404,-121.3049119
-13520405.9819,4664129.2599,49,Active,,Sacramento Telecommunications,,Sacramento Telecom,ADM,CDF,AEU,Sacramento,STATE,B,P,1450 Expo Parkway Suite C,Sacramento,95815,916-263-1881,38.59714516,-121.45587341
-13513408.4481,4674010.1326,50,Active,,Aviation Management Unit,AMU,AMU,ADM,CDF,AEU,Sacramento,STATE,B,P,"5500 Price Avenue, Mcclellan, Ca 95652",McClellan,95652,916-561-3333,38.66648324,-121.39301349
-13463229.7443,4631119.4613,51,Active,,CAL FIRE Training Center,,,TC,AEU,AEU,Amador,,,,4501 State Highway 104,Ione,95640,,38.36501617,-120.94225053
-13048435.4627,4045118.7724,52,Active,,541,HIG 541,Highland,FSA,BDU,BDU,San Bernardino,CITY,A,V,26974 Baseline,Highland,92346,909-862-3031,34.12142498,-117.21607808
-13042160.0574,4045052.2999,53,Active,,542,HIG 542,East Highland,FSA,BDU,BDU,San Bernardino,CITY,A,P,29507 Baseline,Highland,92346,909-862-1760,34.12093064,-117.15970517
-13051488.7033,4044221.9202,54,Active,,543,HIG 543,Sterling,FSA,BDU,BDU,San Bernardino,CITY,A,P,7649 Sterling Ave,Highland,92410,909-884-4100,34.11475509,-117.24350581
-13028246.8315,4035042.4186,55,Decommissioned,State facility. Please remove this entry,551,Yuc 551,Yucaipa,FSAB,BDU,BDU,San Bernardino,STATE,C,P,11416 Bryant St,Yucaipa,92399,909-797-1000,34.04645688,-117.03472056
-13034657.4203,4033369.6017,56,Active,,552,Yuc 552,Crafton ,FSA,BDU,BDU,San Bernardino,CITY,A,P,32664 Yucaipa Bl,Yucaipa,92399,909-797-2313,34.0340047,-117.09230785
-13030745.5939,4030902.2334,57,Active,,553,Yuc 553,Wildwood,FSA,BDU,BDU,San Bernardino,CITY,A,P,34259 Wildwood Canyon Rd,Yucaipa,92399,909-795-3048,34.01563466,-117.05716732
-13100989.3309,4027492.9402,58,Active,,Chino Hills FS,BDU Chino Hills FS,Prado,FSB,BDU,BDU,San Bernardino,STATE,B,P,14467 Central Ave,Chino,91710,909-597-6665,33.99024531,-117.68817744
-13028247.3688,4035041.7026,59,Active,,Yucaipa FS,BDU Yucaipa FS,,FSAB,BDU,BDU,San Bernardino,STATE,C,P,11416 Bryant Street,Yucaipa,92399,909-797-1000,34.04645155,-117.03472539
-12958651.1085,4045412.0257,60,Active,,Yucca Valley FS,BDU Yucca Valley FS,,FSB,BDU,BDU,San Bernardino,STATE,B,P,7105 Airway Dr,Yucca Valley,92284,760-365-4411,34.12360574,-116.40953165
-13069333.6756,4058559.9827,61,Active,,Devore FS,BDU Devore FS,,FSB,BDU,BDU,San Bernardino,STATE,B,P,18365 Cajon Blvd,San Bernardino,92407,909-887-3630,34.22132423,-117.40380988
-13085035.7309,4086066.4917,62,Active,,Phelan FS,BDU Phelan FS,,FSB,BDU,BDU,San Bernardino,STATE,B,P,9600 Centola Rd,Phelan,92371,760-868-3555,34.42539211,-117.5448638
-13017433.4632,4088561.6406,63,Active,,Lucerne Valley FS,BDU Lucerne Valley FS,,FSB,BDU,BDU,San Bernardino,STATE,B,P,"33271 Old Womans Springs Road,",Lucerne Valley,92356,760-248-7525,34.44387876,-116.9375824
-13157445.8242,4411184.0451,64,Active,Year-round staffing,Independence FS,BDU Independence FS,,FSB,BDU,BDU,Inyo,STATE,B,P,250 E. Park Street,Independence,93526,760-878-2258,36.79940598,-118.1953344
-13196776.4371,4494102.3609,65,Active,Year-round staffing 3-0,Bishop FS,BDU Bishop FS,Owens Valley FFS.,FSB,BDU,BDU,Inyo,STATE,B,P,2784 S Round Valley Rd,Bishop,93514,760-387-2179,37.3935226,-118.54864719
-13197150.1389,4493629.6025,66,Active,,Owens Valley CC,BDU Owens Valley CC,OVY,CC,BDU,BDU,Inyo,STATE,B,P,2781 South Round Valley Road,Bishop,93514,760-387-2565,37.39014846,-118.55200421
-13055800.0034,4065318.632,67,Active,,Pilot Rock Fire Center,BDU Pilot Rock,,FCFFC,BDU,BDU,San Bernardino,STATE,B,P,23496 N Miller Canyon Rd,Silverwood Lake,92345,909-338-2812,34.2715119,-117.28223485
-13100870.4006,4027525.8511,68,Active,,Prado CC,BDU Prado CC,,CC,BDU,BDU,San Bernardino,STATE,B,P,14467 Central Ave,Chino,91710,909-597-2911,33.99049044,-117.68710907
-13110678.855,4081265.2486,69,Active,,Fenner Canyon CC,BDU Fenner Canyon CC,FCY,CC,BDU,BDU,Los Angeles,FEDERAL,B,P,P.O. Box 7 ,Valyermo,93563,661-944-5086,34.38980797,-117.77521987
-13094872.1737,4022033.7682,70,Active,,Chino Institute for Women,BDU CIW CTC,,TC,BDU,BDU,San Bernardino,STATE,B,P,P.O. Box 2018,Chino,91708,909-597-1771,33.94957444,-117.6332261
-13100882.4809,4027310.5769,71,Active,,Prado HB,H305,,HB,BDU,BDU,San Bernardino,STATE,B,P,14467 Central Ave,Chino,91710,909-597-2911,33.98888702,-117.68721759
-13056133.7591,4050505.4783,72,Active,,San Bernardino ECC,BDU San Bernardino ECC,Berdo,ECC,BDU,BDU,San Bernardino,STATE,B,P,3800 N. Sierra Way,San Bernardino,92405,909-881-6916,34.16147485,-117.28523304
-13056132.6914,4050292.5225,73,Active,,San Bernardino UH,BDU San Bernardino UH,BERDO,HQ,BDU,BDU,San Bernardino,STATE,B,P,3800 N. Sierra Way,San Bernardino,92405,909-881-6900,34.15989189,-117.28522345
-13149439.7697,4435731.1312,74,Active,,Mazourka Peak COM,BDU Mazourka Peak COM,"BDU3 Tone 12, CMD1 Tone 1",COM,BDU,BDU,Inyo,STATE,B,P,,Independence,,,36.97577312,-118.12341479
-13156424.0866,4496592.1443,75,Active,,Silver Peak COM,BDU Silver Peak COM,"BDU3 Tone 12, CMD1 Tone 2",COM,BDU,BDU,Inyo,STATE,B,P,,Bishop,,,37.41128996,-118.18615592
-13050465.4684,4060011.9737,76,Active,,Strawberry Peak COM,BDU Strawberry Peak COM,"BDU1 Tone 2, CMD1,2,3 Tone 5, CESRS Tone 2",COM,BDU,BDU,San Bernardino,STATE,B,P,,Arrowhead,,,34.23210879,-117.23431392
-12963028.8565,4039076.3996,77,Active,,Yucca Valley COM,BDU Yucca Valley COM,"Yucca Hill. BDU2 Tone 4, CMD2 Tone 7",COM,BDU,BDU,San Bernardino,STATE,B,P,,Yucca Valley,,,34.07647764,-116.44885762
-13045066.4564,4088432.0471,78,Active,,Apple Valley,APV,334,FSB,BDU,BDU,San Bernardino ,FIRE DISTRICT,B,P,21860 Tussing Ranch Road,Apple Valley,92308,760-247-3039,34.44291871,-117.18581376
-13045094.841,4060100.3278,79,Active,,Sky Forest,SKY,11,FSB,BDU,BDU,San Bernardino ,FEDERAL,B,P,28104 State 18 Highway,Sky Forest,92385,909-337-8194,34.23276498,-117.18606876
-13037876.2128,4057652.7957,80,Active,,Running Springs,RSP,51,FSB,BDU,BDU,San Bernardino ,DISTRICT OTHER,B,P,312250 Hilltop Blvd. ,Running Springs,92382,909-867-2680,34.21458544,-117.12122273
-13003471.7961,4067694.6547,81,Active,,Big Bear Valley FS,BBV,97,FSB,BDU,BDU,San Bernardino ,FIRE DISTRICT,B,P,45360 Lucky Baldwin Ranch Rd.,Big Bear,92314,909-547-0160,34.28914838,-116.81216265
-13059468.8945,4062161.9358,82,Active,,Crestline,CRF,,FSB,BDU,BDU,San Bernardino ,STATE,B,,22317 Waters Drive,CedarPines Park,92322,909-338-6188,34.24807496,-117.31519306
